source,author,title,description,url,urlToImage,publishedAt,content,date
"{'id': None, 'name': 'Yahoo Entertainment'}",Dong Cao and Nicolas Parasie,Abu Dhabi’s Biggest Fund Hires Ex-JD Executive in China,"(Bloomberg) -- Abu Dhabi’s biggest wealth fund hired the finance chief of a JD.com Inc. unit to help oversee its private equity investments in China, at a...",https://finance.yahoo.com/news/abu-dhabi-biggest-fund-hires-094249824.html,https://s.yimg.com/ny/api/res/1.2/ycDJEAM8v_ljTeZX49OPZw--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_markets_842/8f0f9d7185950b821dad1192324ed192,2024-06-20T12:58:48Z,"(Bloomberg) -- Abu Dhabis biggest wealth fund hired the finance chief of a JD.com Inc. unit to help oversee its private equity investments in China, at a time the United Arab Emirates is increasing i… [+1567 chars]",2024-06-20
"{'id': 'business-insider', 'name': 'Business Insider'}",Dan DeFrancesco,"With Paramount's long and winding sales process coming to an end, here's what comes next for the media giant",Paramount's lengthy sales process ends with a deal from Skydance valuing it at $8 billion.,https://www.businessinsider.com/paramount-deal-acquisition-skydance-david-ellison-streaming-what-now,https://i.insider.com/665eec7b1cd3b1779042f5c3?width=1200&format=jpeg,2024-06-04T13:32:38Z,"PATRICK T. FALLON/Getty Images
<ul><li>This post originally appeared in the Insider Today newsletter.</li><li>You can sign up for Business Insider's daily newsletter here.</li></ul>Hello! You can re… [+7258 chars]",2024-06-04
"{'id': None, 'name': 'The Atlantic'}",Vaibhav Vats,The Humbling of Narendra Modi,Indian voters handed him a victory that feels more like defeat.,https://www.theatlantic.com/international/archive/2024/06/modi-india-2024-election/678664/?utm_source=feed,,2024-06-15T11:00:00Z,"Prime Minister Narendra Modi seemed subdued when India’s election results were declared on June 4. His Bharatiya Janata Party still had the most seats in Parliament; however, with 63 fewer than in th… [+8389 chars]",2024-06-15
"{'id': None, 'name': 'Forbes'}","David Prosser, Contributor, 
 David Prosser, Contributor
 https://www.forbes.com/sites/davidprosser/",Is India The Ultimate Growth Market For Tax Compliance Software?,Prosperr.io has raised $1.55 million of pre-seed finance as it seeks to scale its income tax compliance software products and to expand internationally,https://www.forbes.com/sites/davidprosser/2024/06/17/is-india-the-ultimate-growth-market-for-tax-compliance-software/,"https://imageio.forbes.com/specials-images/imageserve/666f065397e13739e65a4ac4/0x0.jpg?format=jpg&crop=2570,1204,x0,y677,safe&height=900&width=1600&fit=bounds",2024-06-17T04:00:00Z,"Prosperr founders Dev Kumar and Manas Gond
Prosperr.io
Indias historic general election with 870 million people eligible to vote in recent weeks has focused international attention on a country tha… [+4757 chars]",2024-06-17
"{'id': None, 'name': 'Phys.Org'}","Benjamin LEGENDRE, Nick PERRY",Rich nations met $100 bn climate finance goal two years late: OECD,"Wealthy countries met their target of providing $100 billion in annual climate aid to poorer countries for the first time in 2022 though two years later than promised, the OECD said Wednesday.",https://phys.org/news/2024-05-rich-nations-met-bn-climate.html,https://scx2.b-cdn.net/gfx/news/2024/as-developing-countrie.jpg,2024-05-29T13:38:33Z,"Wealthy countries met their target of providing $100 billion in annual climate aid to poorer countries for the first time in 2022 though two years later than promised, the OECD said Wednesday.
The f… [+3326 chars]",2024-05-29
"{'id': None, 'name': 'MarketWatch'}",Gordon Gottsegen,Stock trades must now settle in just one day. Here’s why Wall Street should move even faster.,A new one-day settlement rule for stocks and many other securities takes effect on Tuesday. Advocates say same-day settlement would be even better for investors.,https://www.marketwatch.com/story/stock-trades-must-now-settle-in-just-one-day-heres-why-wall-street-should-move-even-faster-46f4eea2,https://images.mktw.net/im-22733084/social,2024-05-25T12:00:00Z,"For decades, Wall Street has been processing trades faster and faster, and on May 28 the industry will hit a new benchmark when it moves from the T+2 to T+1 settlement cycle.This means whenever an in… [+2962 chars]",2024-05-25
"{'id': None, 'name': 'Economictimes.com'}",Getty Images,7 mutual funds reduce stake in these mid cap stocks,"Around seven mutual funds reduced their exposure in mid cap stocks in May. Here is the breakup of stocks, according to the Mutual Fund Insight report by Nuvama Alternative & Quantitative Research. Reduction of exposure",https://m.economictimes.com/mf/analysis/7-mutual-funds-reduce-stake-in-these-mid-cap-stocks/reduction-of-exposure/slideshow/111050620.cms,"https://img.etimg.com/thumb/msid-111050620,width-1070,height-580,overlay-etwealthmutualfunds/photo.jpg",2024-06-17T05:21:17Z,"Jun 17, 2024, 10:51:17 AM IST
Around seven mutual funds reduced their exposure in mid cap stocks in May. Here is the breakup of stocks, according to the Mutual Fund Insight report by Nuvama Alternat… [+1066 chars]",2024-06-17
"{'id': 'al-jazeera-english', 'name': 'Al Jazeera English'}",Yashraj Sharma,"‘In shadows’: Meta, YouTube black market clouds India election integrity",Some of India's top social election ad spenders are Facebook pages bought and sold in violation of the company's rules.,https://www.aljazeera.com/news/2024/5/31/in-shadows-meta-youtube-black-market-clouds-india-election-integrity,https://www.aljazeera.com/wp-content/uploads/2024/05/AP359574107563-1717129900.jpg?resize=1920%2C1440,2024-05-31T05:20:48Z,"New Delhi, India In 2019, political consultant Tushar Giri found himself in a room with a distraught veteran leader from Indian Prime Minister Narendra Modis Bharatiya Janata Party (BJP).
The politi… [+12081 chars]",2024-05-31
"{'id': None, 'name': 'Yahoo Entertainment'}",,India Reappoints Nirmala Sitharaman as Finance Minister,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_3066c9aa-69ce-46f3-92d2-3f31e2fd1b4e,,2024-06-10T14:58:23Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",2024-06-10
"{'id': None, 'name': 'Vox'}",Zack Beauchamp,The enormous stakes of India’s election,"The 2024 Indian election is the largest in world history: Nearly 1 billion people are eligible to cast their ballots. Administering such a giant election is an immensely difficult task, especially in a middle-income country where poverty remains all too commo…",https://www.vox.com/world-politics/351497/india-election-2024-explainer-narendra-modi-bjp,"https://platform.vox.com/wp-content/uploads/sites/2/2024/05/gettyimages-2153591529.jpg?quality=90&strip=all&crop=0,10.776130549589,100,78.447738900822",2024-05-24T21:14:27Z,"The 2024 Indian election is the largest in world history: Nearly 1 billion people are eligible to cast their ballots. Administering such a giant election is an immensely difficult task, especially in… [+6940 chars]",2024-05-24
